team,sketch_title,writer,link,upload_date
Archnemesis,Bad News Great,Joanna Tillman,https://www.youtube.com/watch?v=j2ZJvTvbeNg,20170528
Archnemesis,Bechdel Test,Nikki Palumbo,https://www.youtube.com/watch?v=We5lqnOxfQw,20170528
Archnemesis,Birthday Year,no writer,https://www.youtube.com/watch?v=DJzPpfyBGNI,20170528
Archnemesis,Career Day,Nikki Palumbo,https://www.youtube.com/watch?v=hLcWJq2JT5s,20170305
Archnemesis,Charades But Wrong,Eli Yudin,https://www.youtube.com/watch?v=dNx4bq44Zwk,20170209
Archnemesis,Dog Detective Engagement Photographer,Joanna Tillman,https://www.youtube.com/watch?v=FRXgfpwaDV4,20170703
Archnemesis,Escape the Saw Room,Max Ash,https://www.youtube.com/watch?v=9kUVkfTMRNE,20170528
Archnemesis,Evil Yoga Class,Joanna Tillman,https://www.youtube.com/watch?v=qejY3MJ9Tw8,20170209
Archnemesis,Handshake or Hug,Nikki Palumbo,https://www.youtube.com/watch?v=dgZZNTAqPHs,20170703
Archnemesis,Hell Runner 1,no writer,https://www.youtube.com/watch?v=obVJf3VL_Qg,20170703
Archnemesis,Hell Runner 2,no writer,https://www.youtube.com/watch?v=o1CtM3vm6-c,20170703
Archnemesis,Hell Runner 3,no writer,https://www.youtube.com/watch?v=buv7fTnJZAo,20170703
Archnemesis,IKEA Fighting Dept.,Nikki Palumbo,https://www.youtube.com/watch?v=YM89HIiY6fQ,20170209
Archnemesis,In Support Of Murder,Eli Yudin,https://www.youtube.com/watch?v=TShMbiwObAE,20170703
Archnemesis,Influencer Fish,Eli Yudin,https://www.youtube.com/watch?v=Bm-S-ByGxUk,20170329
Archnemesis,Just Heard About Sports,Max Ash,https://www.youtube.com/watch?v=OWzyHZMk0go,20170703
Archnemesis,Lifeguard Blackout,Nikki Palumbo,https://www.youtube.com/watch?v=6UrjJ3QQcLo,20170329
Archnemesis,LIVE! Backstage #1,no writer,https://www.youtube.com/watch?v=UbXiudevYNI,20170528
Archnemesis,LIVE! Backstage #2,no writer,https://www.youtube.com/watch?v=WBMYr-IiP00,20170528
Archnemesis,LIVE! Backstage #3,no writer,https://www.youtube.com/watch?v=bx6bLwc2JWk,20170528
Archnemesis,Looted a Turtle,Eli Yudin,https://www.youtube.com/watch?v=34MyS4gE1tY,20170305
Archnemesis,Loud Thomas,Max Ash,https://www.youtube.com/watch?v=CH-CeojzH9g,20170209
Archnemesis,Magic Rucker Runner 2,Eli Yudin,https://www.youtube.com/watch?v=oG03AB00XFU,20170703
Archnemesis,Magic Trucker Runner 1,Eli Yudin,https://www.youtube.com/watch?v=gnCjxMK2dLY,20170703
Archnemesis,Magic Trucker Runner 3,Eli Yudin,https://www.youtube.com/watch?v=_OQ1sdkZd5k,20170703
Archnemesis,Masshole Plants,Eli Yudin,https://www.youtube.com/watch?v=QDJVltGTpQA,20170305
Archnemesis,Midnight Release,no writer,https://www.youtube.com/watch?v=ju7D4k7NAzM,20170329
Archnemesis,Murder Date,Joanna Tillman,https://www.youtube.com/watch?v=fln0xQCNIq0,20170329
Archnemesis,New Boy,no writer,https://www.youtube.com/watch?v=wt9E0ZkC2PM,20170209
Archnemesis,No Gluten,Max Ash,https://www.youtube.com/watch?v=4uYV6u77zZE,20170329
Archnemesis,Ostrich Burger,Max Ash,https://www.youtube.com/watch?v=wwXiXmufSGI,20170703
Archnemesis,Peer Pressure Slumber Party,Joanna Tillman,https://www.youtube.com/watch?v=QXhCuiIt1Yw,20170305
Archnemesis,Protest Planner,Nikki Palumbo,https://www.youtube.com/watch?v=gCCHTjg7zE4,20170329
Archnemesis,Purgatory Office,Joanna Tillman,https://www.youtube.com/watch?v=R34oisUMA2s,20170528
Archnemesis,Sad Therapist,Joanna Tillman,https://www.youtube.com/watch?v=vrtZcGEXMcE,20170703
Archnemesis,Sexy Team-Building,Nikki Palumbo,https://www.youtube.com/watch?v=sVjMQFhoi58,20170703
Archnemesis,Sneaky Alarms,Joanna Tillman,https://www.youtube.com/watch?v=UDmJOhjN3Ho,20170703
Archnemesis,Son Is A Cat,no writer,https://www.youtube.com/watch?v=LK2t50g4nqQ,20170305
Archnemesis,Toasted Corn Muffin,no writer,https://www.youtube.com/watch?v=qy94993286M,20170703
Archnemesis,Unhealthy 80s Bully, Max Ash,https://www.youtube.com/watch?v=xFdo1OE1nKY,20170305
Beige,"""Car Dealership"" Good",James McCarthy,https://www.youtube.com/watch?v=axyPlhD9fzE,20121126
Beige,(I’m So) Nervous Tonight,no writer,https://www.youtube.com/watch?v=4gd8kNjcEfw,20141118
Beige,40 Hour Orgasm,Jon Bershad,https://www.youtube.com/watch?v=baPvj7SWOhE,20140210
Beige,A Swing and a Pitch,James McCarthy,https://www.youtube.com/watch?v=ki_j7hnVaVU,20120405
Beige,African American Alliance,Zack Phillips,https://www.youtube.com/watch?v=j4fE5Czlvgg,20140408
Beige,Allie Hanover Virginity Tester,Sarah Rainone,https://www.youtube.com/watch?v=wSi_rTHLbIo,20120305
Beige,An Awkward Moment with the Waitress,Jon Bershad,https://www.youtube.com/watch?v=sM5S7XHkI3c,20131222
Beige,Andy Serkis is a Beautiful Woman,Jon Bershad,https://www.youtube.com/watch?v=ubB9onfgYxU,20130117
Beige,Anthony Weiner Gets Advice,James McCarthy,https://www.youtube.com/watch?v=bgfo3gM_b9s,20130822
Beige,Barbara La Bamba,James McCarthy,https://www.youtube.com/watch?v=nDfQebkrJiU,20130409
Beige,Be More Productive,no writer,https://www.youtube.com/watch?v=e5DbKsIeUYE,20140408
Beige,Bear Tutorial,Zack Phillips,https://www.youtube.com/watch?v=Ilg7xADMWVE,20120305
